sequence,candidate_id,bbox_x,bbox_y,bbox_width,bbox_height,transition_frames,review_frame_count,decision,rejection_code,manual_note
development,C0303,731,167,16,8,669,33,rejected,circulation_vehicle,"Moving vehicle on the upper access road; no fixed, complete parking-space polygon."
development,C0050,67,681,90,36,48,33,rejected,frame_boundary,"Partially visible vehicle at the lower image boundary; a complete parking space cannot be defined."
development,C0296,0,333,12,30,576;629,53,rejected,frame_boundary,"Target is clipped by the left image boundary; a complete parking space cannot be defined."
candidate_133033,C0238,1263,303,16,19,103,27,rejected,frame_boundary,"Target lies on the right access road and is clipped by the image boundary."
candidate_133033,C0233,427,201,25,12,26;228,44,rejected,circulation_vehicle,"Distant vehicle on the upper circulation/access road, not a fixed marked bay."
candidate_133033,C0280,266,640,78,69,62;159,43,rejected,circulation_vehicle,"Vehicle in the lower circulation area; no independent marked bay surrounds the hypothesis."
candidate_133033,C0283,132,290,33,20,43;341,43,rejected,circulation_vehicle,"Vehicle follows the left ingress/circulation lane rather than entering or leaving a fixed slot."
candidate_133033,C0291,391,203,29,14,30;344,44,rejected,circulation_vehicle,"Distant vehicle on the upper circulation/access road, not a fixed marked bay."
candidate_133033,C0068,192,225,32,13,223;266;273,50,rejected,circulation_vehicle,"Vehicle on the upper public/access road, outside a complete parking bay."
candidate_133033,C0036,324,369,81,38,20;25;107,49,rejected,circulation_vehicle,"Vehicle stops or moves in a central circulation lane; the region is not a marked parking space."
holdout_162512,C0041,655,436,56,39,63,35,rejected,queue_overlap,"Stopped/queued vehicle in the circulation lane overlaps the view of an adjacent parked vehicle; no independent bay can be assigned."
holdout_162512,C0323,717,267,31,18,130;167,58,rejected,no_visual_state_change,"The marked-row vehicle remains present; proposed changes are detector/association instability, not an observable occupancy transition."
holdout_162512,C0296,610,459,65,38,77;108,59,rejected,circulation_vehicle,"Vehicle occupies the circulation area rather than a complete marked parking bay."
holdout_162512,C0224,166,373,50,30,12;85;134,82,rejected,no_visual_state_change,"The marked-row vehicle remains present throughout the reviewed transition neighborhoods and uniform samples."
holdout_162512,C0124,221,309,57,30,143;190;194,52,rejected,no_visual_state_change,"The marked-row vehicle remains present; no human-visible occupied-to-vacant or vacant-to-occupied event occurs."
holdout_162512,C0305,1090,210,14,9,15;45;61;119,98,rejected,not_a_parking_space,"Small target on the upper-right access/hatched area; it is not a complete marked parking space."
